week,type,question,option_a,option_b,option_c,option_d,answer,notes
1,MCQ,A generated chart summary says “Remote work caused productivity to rise.” The chart only shows productivity and remote-work rates over the same period. What is the main problem?,The colour palette is inaccessible,The text makes a causal claim not established by the chart,The x-axis should be categorical,The chart should be 3D,B,causal overclaim
1,classification,Classify the task: showing whether a value differs from a target.,Deviation,Distribution,Flow,Spatial,A,visual vocabulary
2,MCQ,Which Visual Vocabulary category best fits a scatterplot of commute time versus income?,Correlation,Part-to-whole,Flow,Spatial,A,chart task
2,Parsons,Order the pandas lines for a wide-to-long reshape.,df_long = df.melt(,"id_vars=[""date"", ""region""],","var_name=""category"", value_name=""value"")",,"A,B,C",pandas reshape
3,MCQ,A minister wants to know which services recovered least since 2019. Which pairing is strongest?,Persona: journalist; category: spatial,Persona: executive; category: ranking/change over time,Persona: public; category: flow,Persona: technical analyst; category: part-to-whole,B,dashboard persona
3,MCQ,Which user story is best formed?,"As a bar chart, I want data.","As a transport analyst, I want to compare recovery by mode, so that I can identify services below baseline.",Make it colourful.,The dashboard should be interactive.,B,user stories
4,MCQ,"In a Streamlit app, why should file paths be relative rather than absolute?",They make charts more colourful,They work better after deployment,They increase sample size,They avoid all missing data,B,deployment readiness
4,MCQ,Which prompt is better for AI-assisted coding?,Build my whole app,"Write a Streamlit selectbox for a dataframe with columns date, region, category, value and explain each line",Make it cool,Fix everything,B,prompt quality
5,MCQ,What trust problem does an empty chart after filtering create?,It always means the dataset is wrong,The user may not know whether there is no data or the app is broken,It proves the app is unbiased,It means caching is unnecessary,B,empty state
5,MCQ,What is @st.cache_data mainly used for?,Hiding data from users,Caching serialisable data-loading or transformation results,Creating 3D charts,Uploading to Tableau,B,caching
6,MCQ,When is 3D most justifiable?,For categorical bar charts,When the data is inherently spatial,Whenever the chart needs to impress,For all distributions,B,3D judgement
6,classification,A Sankey diagram is most closely connected to which Visual Vocabulary category.,Flow,Distribution,Deviation,Ranking,A,specialised visualisation
6,MCQ,What does JavaScript primarily add to the web stack?,Document structure,Appearance only,Behaviour and interaction,Dataset sampling,C,web literacy
7,MCQ,A line chart of forecast values uses the same style as observed values and hides prediction intervals. What is the main issue?,It uses too many labels,It hides uncertainty,It should be a pie chart,It has too much caching,B,uncertainty
7,assertion-reason,"Assertion: A map can imply that geography explains a pattern. Reason: maps encode values using spatial location, which can make aggregation areas feel causal.",Both true and reason explains assertion,Both true but reason does not explain assertion,"Assertion true, reason false",Assertion false,A,spatial interpretation
